Date;Summa
31.03.2019;9639
30.03.2019;9459
29.01.2019;4990
28.03.2019;3883
27.02.2019;9277
26.02.2019;3510
25.03.2019;3614
25.02.2019;6663
24.03.2019;5091
22.02.2019;8470
21.02.2019;2378
20.03.2019;1913
20.02.2019;8154
20.01.2019;8604
19.03.2019;1890
19.02.2019;3350
19.01.2019;8246
18.02.2019;2956
18.01.2019;671
17.02.2019;9574
16.02.2019;632
15.03.2019;227
15.02.2019;9066
15.01.2019;2516
14.02.2019;7601
12.01.2019;1432
11.02.2019;4090
11.01.2019;9507
10.03.2019;2049
10.02.2019;5726
10.01.2019;1462
09.01.2019;3404
08.03.2019;514
08.02.2019;8216
07.01.2019;4147
06.02.2019;7745
05.02.2019;4363
05.01.2019;8839
04.01.2019;348
03.01.2019;4609
02.01.2019;2158
01.03.2019;4671
01.02.2019;4495
01.01.2019;8877
